,Date,Time,Race,Gender,Body_Size,Age_Range,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,City,State,Postcode,Temperature,humidity,windspeed,conditions,Formatted_Date,Datetime,isRain,DayOfWeek,HourInDay
10,21/10/2015,14:18:47,chinese,female,fat,45.0,no_kids,big,blue,casual,grey,long_sleeve,white,long,clothes,3,10,yes,50.0,5.0,7.0,2.923278148,101.6872035,2.0,Putrajaya,Putrajaya,62675,32.1,60.75,13.6,Overcast,2015-10-21,2015-10-21 14:18:47,False,2,14
11,21/10/2015,14:32:50,malay,female,moderate,48.0,young,big,blue,traditional,green,long_sleeve,white,long,clothes,5,9,yes,35.0,1.0,13.0,2.933630644,101.7161121,1.0,Putrajaya,Putrajaya,62000,32.1,60.75,13.6,Overcast,2015-10-21,2015-10-21 14:32:50,False,2,14
12,21/10/2015,21:13:41,indian,male,thin,35.0,no_kids,big,white,formal,white,long_sleeve,black,long,clothes,3,7,no,46.0,5.0,14.0,2.916636583,101.6540031,2.0,Sepang,Selangor,63000,28.4,77.27,3.6,Overcast,2015-10-21,2015-10-21 21:13:41,False,2,21
13,22/10/2015,7:31:47,malay,female,moderate,49.0,no_kids,big,yellow,traditional,white,long_sleeve,white,long,clothes,4,8,no,46.0,3.0,14.0,2.926865293,101.6613881,1.0,Sepang,Selangor,63200,25.0,85.48,2.9,Overcast,2015-10-22,2015-10-22 07:31:47,False,3,7
14,22/10/2015,10:08:57,malay,male,moderate,55.0,no_kids,big,blue,casual,white,short_sleeve,yellow,long,clothes,3,8,yes,37.0,5.0,21.0,2.935513585,101.629123,3.0,Sepang,Selangor,47130,29.0,72.22,3.6,Overcast,2015-10-22,2015-10-22 10:08:57,False,3,10
15,22/10/2015,10:50:38,malay,male,thin,46.0,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes,21.0,1.0,15.0,2.905601006,101.7392814,1.0,Sepang,Selangor,63450,29.0,71.08,4.6,Overcast,2015-10-22,2015-10-22 10:50:38,False,3,10
16,22/10/2015,15:42:25,malay,female,fat,40.0,no_kids,big,blue,casual,green,long_sleeve,black,long,clothes,6,10,no,30.0,0.0,7.0,2.960587491,101.6462615,2.0,Sepang,Selangor,47120,32.6,57.18,8.7,Partially cloudy,2015-10-22,2015-10-22 15:42:25,False,3,15
17,22/10/2015,19:48:07,chinese,male,thin,50.0,baby,big,blue,casual,black,short_sleeve,black,long,clothes,3,10,no,19.0,0.0,13.0,2.942284986,101.6978443,2.0,Putrajaya,Putrajaya,62519,29.4,72.77,7.0,Partially cloudy,2015-10-22,2015-10-22 19:48:07,False,3,19
18,23/10/2015,1:09:08,chinese,female,fat,30.0,toddler,big,red,casual,red,short_sleeve,green,short,clothes,6,10,no,22.0,5.0,20.0,2.955510695,101.6774643,2.0,Putrajaya,Putrajaya,61250,27.5,81.2,1.8,Partially cloudy,2015-10-23,2015-10-23 01:09:08,False,4,1
19,23/10/2015,11:59:37,malay,male,moderate,40.0,no_kids,big,white,formal,white,short_sleeve,grey,long,clothes,4,10,no,53.0,1.0,8.0,2.942248354,101.6891296,3.0,Putrajaya,Putrajaya,62514,31.4,64.27,9.7,Overcast,2015-10-23,2015-10-23 11:59:37,False,4,11
20,23/10/2015,16:33:34,malay,female,moderate,41.0,no_kids,big,green,traditional,blue,long_sleeve,blue,long,clothes,4,7,yes,11.0,1.0,9.0,2.94747878,101.7418065,2.0,Sepang,Selangor,62050,32.7,63.89,12.8,Overcast,2015-10-23,2015-10-23 16:33:34,False,4,16
21,23/10/2015,17:31:48,malay,female,moderate,41.0,toddler,big,white,casual,red,short_sleeve,blue,long,clothes,6,10,no,28.0,3.0,14.0,2.921348541,101.646776,2.0,Sepang,Selangor,63000,31.8,65.22,14.4,Overcast,2015-10-23,2015-10-23 17:31:48,False,4,17
22,23/10/2015,21:18:54,foreigner,female,thin,39.0,young,big,blue,casual,black,short_sleeve,black,long,clothes,3,9,no,11.0,1.0,20.0,2.938166689,101.6621167,2.0,Sepang,Selangor,61250,28.1,80.48,4.6,Overcast,2015-10-23,2015-10-23 21:18:54,False,4,21
23,24/10/2015,14:07:01,malay,male,moderate,31.0,no_kids,big,red,casual,brown,short_sleeve,white,long,clothes,4,10,no,56.0,1.0,17.0,2.914610198,101.6718867,1.0,Sepang,Selangor,62100,32.4,64.38,9.3,Overcast,2015-10-24,2015-10-24 14:07:01,False,5,14
24,24/10/2015,20:03:39,malay,male,thin,41.0,no_kids,big,blue,casual,black,short_sleeve,blue,long,blankets,4,9,no,16.0,2.0,15.0,2.958858058,101.6947694,1.0,Putrajaya,Putrajaya,62502,27.6,84.98,8.7,"Rain, Overcast",2015-10-24,2015-10-24 20:03:39,True,5,20
25,24/10/2015,23:32:46,chinese,female,thin,34.0,no_kids,big,pink,formal,white,short_sleeve,blue,long,clothes,6,8,no,24.0,5.0,17.0,2.907214587,101.7204091,1.0,Sepang,Selangor,63450,27.0,81.2,0.0,Overcast,2015-10-24,2015-10-24 23:32:46,False,5,23
26,25/10/2015,0:08:09,malay,male,fat,42.0,no_kids,big,black,casual,red,short_sleeve,black,long,blankets,4,7,no,39.0,3.0,7.0,2.914232837,101.6770645,1.0,Putrajaya,Putrajaya,62100,27.0,81.85,1.8,Overcast,2015-10-25,2015-10-25 00:08:09,False,6,0
27,26/10/2015,8:40:01,malay,female,moderate,47.0,no_kids,big,purple,casual,blue,long_sleeve,black,long,clothes,6,10,yes,13.0,4.0,16.0,2.921285236,101.7428619,3.0,Sepang,Selangor,63450,25.1,93.64,1.3,Overcast,2015-10-26,2015-10-26 08:40:01,False,0,8
28,26/10/2015,9:15:05,indian,male,moderate,41.0,no_kids,big,white,casual,black,short_sleeve,blue,long,clothes,6,7,no,26.0,1.0,10.0,2.917723073,101.7385997,1.0,Sepang,Selangor,63450,26.7,86.37,1.8,Partially cloudy,2015-10-26,2015-10-26 09:15:05,False,0,9
29,29/10/2015,21:28:23,chinese,female,fat,32.0,no_kids,big,black,casual,red,short_sleeve,brown,short,clothes,5,10,no,44.0,2.0,14.0,2.94215071,101.6661886,3.0,Sepang,Selangor,62300,25.9,91.72,4.4,Partially cloudy,2015-10-29,2015-10-29 21:28:23,False,3,21
30,29/10/2015,21:59:25,malay,female,moderate,44.0,no_kids,big,white,casual,black,long_sleeve,black,long,clothes,6,7,no,25.0,4.0,12.0,2.970728476,101.7225717,3.0,Sepang,Selangor,62502,25.9,91.6,4.5,Partially cloudy,2015-10-29,2015-10-29 21:59:25,False,3,21
31,29/10/2015,22:38:51,indian,male,fat,38.0,no_kids,big,red,casual,blue,short_sleeve,white,long,clothes,6,10,no,51.0,1.0,18.0,2.960950706,101.7416634,1.0,Majlis Perbandaran Kajang,Selangor,43650,25.4,91.9,2.9,Partially cloudy,2015-10-29,2015-10-29 22:38:51,False,3,22
32,01/11/2015,7:49:27,indian,male,thin,52.0,no_kids,big,yellow,casual,red,short_sleeve,purple,short,clothes,4,8,no,32.0,5.0,16.0,2.923524901,101.7374016,2.0,Sepang,Selangor,63450,24.0,94.15,0.0,Partially cloudy,2015-11-01,2015-11-01 07:49:27,False,6,7
33,02/11/2015,13:54:53,indian,male,moderate,50.0,no_kids,small,black,casual,black,short_sleeve,black,long,clothes,6,10,no,26.0,3.0,12.0,2.927838796,101.6800139,2.0,Putrajaya,Putrajaya,62250,32.4,61.42,8.2,Partially cloudy,2015-11-02,2015-11-02 13:54:53,False,0,13
34,02/11/2015,14:29:06,malay,female,fat,34.0,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,3,7,no,22.0,5.0,16.0,2.943391953,101.6838972,1.0,Putrajaya,Putrajaya,62250,32.9,59.52,10.7,Partially cloudy,2015-11-02,2015-11-02 14:29:06,False,0,14
35,02/11/2015,15:15:59,indian,female,thin,36.0,no_kids,big,red,casual,blue,long_sleeve,black,long,clothes,4,8,no,17.0,4.0,19.0,2.908471426,101.6472248,2.0,Sepang,Selangor,63000,31.6,65.35,16.8,Partially cloudy,2015-11-02,2015-11-02 15:15:59,False,0,15
36,02/11/2015,17:23:07,malay,female,fat,50.0,no_kids,big,red,traditional,red,long_sleeve,red,long,clothes,5,9,yes,19.0,0.0,15.0,2.938080613,101.6446418,3.0,Sepang,Selangor,63200,28.0,78.97,7.5,Partially cloudy,2015-11-02,2015-11-02 17:23:07,False,0,17
37,02/11/2015,18:39:35,malay,female,thin,33.0,no_kids,small,pink,traditional,purple,long_sleeve,purple,long,clothes,3,10,no,32.0,5.0,9.0,2.937364649,101.6856716,1.0,Putrajaya,Putrajaya,62250,28.0,78.92,1.8,Partially cloudy,2015-11-02,2015-11-02 18:39:35,False,0,18
38,02/11/2015,19:14:08,indian,female,moderate,52.0,no_kids,big,red,casual,orange,short_sleeve,black,short,clothes,5,8,no,11.0,2.0,9.0,2.960788038,101.6495573,1.0,Sepang,Selangor,47110,28.0,81.62,3.6,Partially cloudy,2015-11-02,2015-11-02 19:14:08,False,0,19
39,02/11/2015,19:14:08,chinese,male,fat,54.0,no_kids,big,blue,casual,black,short_sleeve,white,short,clothes,3,7,no,50.0,5.0,9.0,2.935664733,101.7007438,2.0,Putrajaya,Putrajaya,62514,28.0,80.69,3.6,Partially cloudy,2015-11-02,2015-11-02 19:14:08,False,0,19
40,02/11/2015,19:36:41,foreigner,male,thin,43.0,no_kids,small,brown,casual,grey,short_sleeve,brown,short,clothes,5,10,no,39.0,2.0,10.0,2.908670847,101.7407729,2.0,Sepang,Selangor,63450,28.0,80.05,3.6,Partially cloudy,2015-11-02,2015-11-02 19:36:41,False,0,19
41,02/11/2015,20:43:51,malay,male,fat,41.0,no_kids,big,white,casual,black,short_sleeve,green,long,clothes,5,10,no,39.0,4.0,10.0,2.924567622,101.7276728,3.0,Sepang,Selangor,63450,27.6,82.5,6.9,"Rain, Overcast",2015-11-02,2015-11-02 20:43:51,True,0,20
42,02/11/2015,21:31:46,malay,female,thin,53.0,no_kids,big,green,formal,white,long_sleeve,black,long,clothes,5,10,no,35.0,4.0,16.0,2.914400354,101.7357973,3.0,Sepang,Selangor,63450,26.7,87.46,12.9,Partially cloudy,2015-11-02,2015-11-02 21:31:46,False,0,21
43,02/11/2015,23:09:00,indian,female,thin,33.0,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,5,9,no,54.0,5.0,7.0,2.933525997,101.7384456,2.0,Sepang,Selangor,63450,24.9,89.92,7.5,Partially cloudy,2015-11-02,2015-11-02 23:09:00,False,0,23
44,02/11/2015,23:12:22,indian,female,fat,46.0,no_kids,big,white,formal,purple,long_sleeve,black,long,clothes,6,7,no,39.0,5.0,17.0,2.912532462,101.6392835,1.0,Sepang,Selangor,63000,24.9,89.86,7.2,Partially cloudy,2015-11-02,2015-11-02 23:12:22,False,0,23
45,02/11/2015,23:14:25,indian,female,fat,30.0,no_kids,big,white,traditional,green,short_sleeve,black,long,blankets,3,8,no,14.0,2.0,21.0,2.909648859,101.7357739,3.0,Sepang,Selangor,63450,24.9,90.05,8.0,Partially cloudy,2015-11-02,2015-11-02 23:14:25,False,0,23
46,03/11/2015,9:20:56,indian,male,moderate,35.0,no_kids,big,red,casual,brown,short_sleeve,blue,short,clothes,3,7,no,11.0,1.0,13.0,2.914040327,101.6617645,1.0,Sepang,Selangor,62200,26.7,85.36,2.4,Partially cloudy,2015-11-03,2015-11-03 09:20:56,False,1,9
47,03/11/2015,10:39:34,malay,female,thin,34.0,no_kids,big,blue,formal,orange,long_sleeve,blue,long,clothes,4,7,no,54.0,3.0,15.0,2.930154141,101.6609396,3.0,Sepang,Selangor,63200,29.0,78.2,1.8,Partially cloudy,2015-11-03,2015-11-03 10:39:34,False,1,10
48,03/11/2015,20:20:31,malay,male,fat,29.0,no_kids,big,red,casual,purple,short_sleeve,white,short,clothes,4,8,no,60.0,5.0,15.0,2.954490883,101.7302788,3.0,Putrajaya,Putrajaya,62500,26.9,86.47,7.8,Partially cloudy,2015-11-03,2015-11-03 20:20:31,False,1,20
49,03/11/2015,21:15:51,malay,female,fat,48.0,no_kids,big,black,casual,black,long_sleeve,pink,short,clothes,4,8,no,11.0,5.0,14.0,2.963808387,101.6600931,2.0,Sepang,Selangor,62300,27.0,86.51,8.6,Partially cloudy,2015-11-03,2015-11-03 21:15:51,False,1,21
50,03/11/2015,21:30:09,malay,male,thin,34.0,no_kids,big,red,casual,black,short_sleeve,grey,long,clothes,4,7,yes,15.0,1.0,15.0,2.966209275,101.7455878,1.0,Majlis Perbandaran Kajang,Selangor,43650,27.0,85.85,8.3,Partially cloudy,2015-11-03,2015-11-03 21:30:09,False,1,21
51,03/11/2015,21:32:52,malay,male,fat,29.0,young,big,white,casual,yellow,short_sleeve,grey,long,clothes,5,9,no,12.0,1.0,20.0,2.926046437,101.7119397,2.0,Sepang,Selangor,62000,27.0,85.29,8.1,Partially cloudy,2015-11-03,2015-11-03 21:32:52,False,1,21
52,03/11/2015,22:32:11,malay,male,thin,32.0,no_kids,big,red,casual,yellow,short_sleeve,grey,long,clothes,5,8,no,37.0,4.0,7.0,2.911749896,101.7255672,2.0,Sepang,Selangor,63450,26.7,84.94,8.9,Partially cloudy,2015-11-03,2015-11-03 22:32:11,False,1,22
53,03/11/2015,22:33:00,malay,male,moderate,29.0,no_kids,big,blue,formal,white,short_sleeve,grey,long,clothes,6,8,no,45.0,2.0,9.0,2.937933841,101.6562815,1.0,Sepang,Selangor,63200,26.5,85.92,8.5,Partially cloudy,2015-11-03,2015-11-03 22:33:00,False,1,22
54,03/11/2015,23:30:29,malay,female,fat,35.0,no_kids,big,green,casual,red,short_sleeve,grey,long,clothes,5,7,no,21.0,1.0,14.0,2.957069393,101.6707545,1.0,Putrajaya,Putrajaya,62300,26.4,87.23,3.6,Partially cloudy,2015-11-03,2015-11-03 23:30:29,False,1,23
55,03/11/2015,23:54:41,chinese,male,thin,31.0,no_kids,big,black,casual,white,short_sleeve,grey,long,clothes,4,8,no,54.0,0.0,18.0,2.968319216,101.7471253,3.0,Majlis Perbandaran Kajang,Selangor,43650,26.5,86.88,3.4,Partially cloudy,2015-11-03,2015-11-03 23:54:41,False,1,23
56,04/11/2015,2:39:24,foreigner,female,fat,28.0,no_kids,big,green,casual,grey,short_sleeve,blue,long,clothes,6,8,no,22.0,1.0,20.0,2.922829261,101.7104236,2.0,Sepang,Selangor,62000,25.8,91.23,6.5,Partially cloudy,2015-11-04,2015-11-04 02:39:24,False,2,2
57,04/11/2015,2:39:24,foreigner,female,moderate,44.0,no_kids,big,red,casual,pink,short_sleeve,grey,long,clothes,4,9,no,49.0,0.0,8.0,2.931169685,101.662908,1.0,Sepang,Selangor,61250,25.7,92.14,5.5,Partially cloudy,2015-11-04,2015-11-04 02:39:24,False,2,2
58,04/11/2015,3:59:41,indian,male,moderate,33.0,no_kids,big,purple,casual,white,short_sleeve,black,long,clothes,5,10,yes,42.0,4.0,16.0,2.970966455,101.6698387,2.0,Putrajaya,Putrajaya,62300,25.4,94.95,4.1,Partially cloudy,2015-11-04,2015-11-04 03:59:41,False,2,3
59,04/11/2015,5:40:28,malay,male,moderate,32.0,no_kids,big,red,casual,white,short_sleeve,grey,short,blankets,5,9,no,35.0,4.0,11.0,2.910689023,101.67458,2.0,Putrajaya,Putrajaya,62100,25.6,91.85,3.7,Partially cloudy,2015-11-04,2015-11-04 05:40:28,False,2,5
60,04/11/2015,7:51:40,malay,male,moderate,39.0,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,6,9,no,11.0,5.0,7.0,2.96958788,101.7254229,3.0,Sepang,Selangor,62502,25.5,91.62,2.6,Partially cloudy,2015-11-04,2015-11-04 07:51:40,False,2,7
61,04/11/2015,10:01:50,malay,male,thin,28.0,toddler,big,white,casual,white,short_sleeve,black,short,clothes,3,7,yes,12.0,3.0,9.0,2.91671785,101.6677269,3.0,Sepang,Selangor,62100,29.3,79.21,4.8,Partially cloudy,2015-11-04,2015-11-04 10:01:50,False,2,10
62,04/11/2015,10:29:45,malay,male,thin,44.0,no_kids,big,black,formal,white,short_sleeve,black,long,clothes,3,10,no,17.0,0.0,11.0,2.960871822,101.6574153,2.0,Sepang,Selangor,62300,28.9,82.12,4.4,Partially cloudy,2015-11-04,2015-11-04 10:29:45,False,2,10
63,04/11/2015,12:06:55,indian,male,moderate,48.0,no_kids,big,white,formal,red,short_sleeve,black,long,clothes,4,7,no,25.0,5.0,14.0,2.908306481,101.6971095,3.0,Putrajaya,Putrajaya,62150,31.0,70.48,4.9,Partially cloudy,2015-11-04,2015-11-04 12:06:55,False,2,12
64,15/11/2015,7:29:00,foreigner,female,thin,46.0,no_kids,big,red,traditional,green,long_sleeve,green,long,clothes,5,10,no,53.0,1.0,20.0,2.951763863,101.6804407,2.0,Putrajaya,Putrajaya,61250,25.0,94.19,2.6,Partially cloudy,2015-11-15,2015-11-15 07:29:00,False,6,7
65,15/11/2015,10:26:01,indian,female,thin,36.0,no_kids,big,black,formal,red,long_sleeve,black,long,blankets,3,7,no,34.0,3.0,11.0,2.95691776,101.7431918,2.0,Sepang,Selangor,43650,28.6,80.9,4.3,Partially cloudy,2015-11-15,2015-11-15 10:26:01,False,6,10
66,15/11/2015,11:32:19,malay,female,fat,38.0,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,6,10,no,47.0,1.0,12.0,2.924209926,101.7295567,3.0,Sepang,Selangor,63450,29.8,77.02,7.6,Partially cloudy,2015-11-15,2015-11-15 11:32:19,False,6,11
67,15/11/2015,13:56:02,indian,male,thin,41.0,young,big,orange,formal,red,short_sleeve,grey,long,clothes,6,10,no,34.0,2.0,20.0,2.910016739,101.6325166,2.0,Sepang,Selangor,63000,32.4,69.18,8.9,Partially cloudy,2015-11-15,2015-11-15 13:56:02,False,6,13
68,15/11/2015,14:37:49,malay,male,thin,50.0,young,big,blue,casual,white,short_sleeve,blue,long,clothes,4,8,no,34.0,5.0,17.0,2.911332763,101.656706,2.0,Sepang,Selangor,63000,32.0,71.86,14.8,Partially cloudy,2015-11-15,2015-11-15 14:37:49,False,6,14
69,15/11/2015,14:49:07,indian,female,thin,35.0,no_kids,big,blue,casual,blue,short_sleeve,blue,short,blankets,6,10,no,12.0,2.0,12.0,2.966208972,101.68881,2.0,Putrajaya,Putrajaya,62300,32.0,72.27,15.7,Partially cloudy,2015-11-15,2015-11-15 14:49:07,False,6,14
70,24/11/2015,9:07:40,foreigner,female,fat,36.0,no_kids,big,pink,casual,blue,short_sleeve,black,long,clothes,4,8,no,47.0,4.0,21.0,2.966442345,101.6869664,3.0,Putrajaya,Putrajaya,62300,26.5,88.8,5.5,Partially cloudy,2015-11-24,2015-11-24 09:07:40,False,1,9
71,24/11/2015,10:49:42,indian,male,moderate,49.0,no_kids,big,blue,casual,red,short_sleeve,black,long,clothes,6,10,no,13.0,0.0,10.0,2.951461224,101.6367503,1.0,Sepang,Selangor,47120,25.9,89.25,8.9,Overcast,2015-11-24,2015-11-24 10:49:42,False,1,10
72,24/11/2015,10:49:42,chinese,male,fat,55.0,no_kids,big,black,casual,orange,long_sleeve,black,short,clothes,4,10,no,32.0,2.0,15.0,2.918519782,101.6461944,2.0,Sepang,Selangor,63000,26.2,87.56,6.8,Overcast,2015-11-24,2015-11-24 10:49:42,False,1,10
73,24/11/2015,16:03:37,indian,male,moderate,30.0,no_kids,big,white,formal,white,short_sleeve,black,long,clothes,4,9,yes,59.0,3.0,13.0,2.942311347,101.6852152,2.0,Putrajaya,Putrajaya,62250,32.4,64.4,7.1,Partially cloudy,2015-11-24,2015-11-24 16:03:37,False,1,16
74,24/11/2015,20:44:29,chinese,male,fat,35.0,no_kids,big,white,formal,white,long_sleeve,black,long,clothes,5,9,yes,54.0,3.0,12.0,2.968674987,101.7202974,2.0,Sepang,Selangor,62502,27.4,88.96,3.5,"Rain, Overcast",2015-11-24,2015-11-24 20:44:29,True,1,20
75,24/11/2015,22:35:22,indian,female,moderate,44.0,no_kids,big,blue,formal,green,short_sleeve,black,long,clothes,4,8,no,60.0,3.0,13.0,2.954643723,101.7279684,2.0,Putrajaya,Putrajaya,62500,26.8,84.77,4.5,Partially cloudy,2015-11-24,2015-11-24 22:35:22,False,1,22
76,25/11/2015,15:27:34,indian,female,fat,39.0,no_kids,big,white,casual,blue,short_sleeve,black,short,clothes,4,9,no,24.0,2.0,16.0,2.931916704,101.7171782,1.0,Putrajaya,Putrajaya,62000,30.7,70.4,8.2,Partially cloudy,2015-11-25,2015-11-25 15:27:34,False,2,15
77,25/11/2015,21:58:23,indian,female,moderate,50.0,no_kids,big,blue,casual,black,short_sleeve,blue,short,clothes,3,9,yes,31.0,1.0,16.0,2.90851852,101.6350378,2.0,Sepang,Selangor,63000,24.4,94.16,2.9,Partially cloudy,2015-11-25,2015-11-25 21:58:23,False,2,21
78,25/11/2015,21:58:23,indian,female,fat,32.0,no_kids,big,white,casual,black,short_sleeve,blue,short,clothes,5,8,no,18.0,4.0,9.0,2.95076868,101.7380348,1.0,Sepang,Selangor,62050,24.4,94.16,2.9,Partially cloudy,2015-11-25,2015-11-25 21:58:23,False,2,21
79,25/11/2015,21:59:20,chinese,female,moderate,53.0,no_kids,big,white,casual,white,short_sleeve,red,short,clothes,6,10,no,48.0,4.0,11.0,2.937629838,101.7286312,1.0,Putrajaya,Putrajaya,62050,24.3,94.16,3.0,Partially cloudy,2015-11-25,2015-11-25 21:59:20,False,2,21
80,25/11/2015,22:33:38,foreigner,female,thin,47.0,no_kids,big,red,casual,white,long_sleeve,black,long,clothes,6,8,no,57.0,4.0,17.0,2.922369597,101.7220953,2.0,Sepang,Selangor,63450,24.3,94.16,3.6,Overcast,2015-11-25,2015-11-25 22:33:38,False,2,22
81,25/11/2015,22:33:38,chinese,female,moderate,37.0,young,big,white,casual,green,short_sleeve,pink,short,clothes,5,7,no,17.0,0.0,8.0,2.951594147,101.6758771,1.0,Putrajaya,Putrajaya,62300,24.5,94.17,3.6,Overcast,2015-11-25,2015-11-25 22:33:38,False,2,22
82,25/11/2015,22:41:24,indian,female,fat,49.0,young,big,black,casual,black,short_sleeve,blue,long,clothes,5,7,no,17.0,2.0,14.0,2.908517052,101.6539055,3.0,Sepang,Selangor,63000,24.3,94.16,3.6,Overcast,2015-11-25,2015-11-25 22:41:24,False,2,22
83,26/11/2015,1:15:45,foreigner,female,thin,47.0,no_kids,big,red,casual,brown,short_sleeve,pink,long,clothes,5,9,no,28.0,4.0,14.0,2.936525088,101.6961584,2.0,Putrajaya,Putrajaya,62514,25.0,94.19,6.5,Partially cloudy,2015-11-26,2015-11-26 01:15:45,False,3,1
84,26/11/2015,1:41:18,indian,female,thin,45.0,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,38.0,1.0,12.0,2.945873357,101.7434463,2.0,Sepang,Selangor,43650,25.0,94.19,6.6,Partially cloudy,2015-11-26,2015-11-26 01:41:18,False,3,1
85,26/11/2015,3:53:40,chinese,male,thin,51.0,no_kids,big,green,casual,orange,short_sleeve,black,long,clothes,4,9,no,52.0,2.0,9.0,2.914458506,101.6607922,2.0,Sepang,Selangor,62200,25.0,94.19,0.6,Partially cloudy,2015-11-26,2015-11-26 03:53:40,False,3,3
86,26/11/2015,9:05:04,foreigner,male,moderate,33.0,no_kids,big,white,casual,white,short_sleeve,brown,long,clothes,6,8,no,53.0,3.0,19.0,2.915794345,101.6341199,3.0,Sepang,Selangor,63000,26.4,92.06,2.9,Partially cloudy,2015-11-26,2015-11-26 09:05:04,False,3,9
87,26/11/2015,23:04:09,foreigner,male,moderate,44.0,no_kids,big,purple,casual,grey,short_sleeve,black,long,clothes,6,10,no,38.0,3.0,7.0,2.96544521,101.743428,1.0,Majlis Perbandaran Kajang,Selangor,43650,24.2,95.2,3.3,Partially cloudy,2015-11-26,2015-11-26 23:04:09,False,3,23
88,27/11/2015,8:45:29,malay,female,thin,34.0,no_kids,big,grey,casual,white,short_sleeve,black,long,clothes,3,8,no,60.0,4.0,19.0,2.945489898,101.6956424,3.0,Putrajaya,Putrajaya,62514,23.9,95.23,1.8,Partially cloudy,2015-11-27,2015-11-27 08:45:29,False,4,8
