Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,City,State,Postcode,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,Formatted_Date,Datetime
20/10/2015,3:07:16,,female,,45.0,no,no_kids,big,red,,,short_sleeve,grey,short,,4,8,no,56.0,2.0,21.0,2.967033313,101.6523208,3.0,Sepang,Selangor,47110,26.0,26.0,24.6,91.92,0.0,0,,0.0,0.0,,3.6,343.0,,93.5,1.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 03:07:16
20/10/2015,7:23:12,,male,moderate,37.0,no,no_kids,big,blue,casual,brown,short_sleeve,,long,,4,8,,,5.0,18.0,2.962150972,101.7110964,3.0,Sepang,Selangor,62500,25.0,25.0,23.5,91.17,0.0,0,,0.0,0.0,,3.7,3.0,,92.3,1.5,28.3,0.1,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 07:23:12
20/10/2015,7:23:12,malay,female,moderate,,no,no_kids,big,blue,casual,blue,long sleeve,blue_jeans,long,clothes,3,7,no,15.0,1.0,7.0,2.928768234,101.6912621,3.0,Putrajaya,Putrajaya,62675,25.0,25.0,23.4,90.6,0.0,0,,0.0,0.0,,4.1,12.0,,91.4,1.6,28.3,0.1,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 07:23:12
20/10/2015,9:06:14,,male,moderate,32.0,no,no_kids,big,yellow,,yellow,short_sleeve,black,long,clothes,3,9,yes,15.0,2.0,7.0,2.941112411,101.7132003,1.0,Putrajaya,Putrajaya,62000,26.0,26.0,23.4,85.48,0.0,0,,0.0,0.0,,2.3,69.0,,100.0,1.6,392.4,1.4,4,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 09:06:14
20/10/2015,10:05:17,malay,female,moderate,55.0,yes,young,big,red,,brown,long sleeve,grey,long,clothes,3,8,yes,23.0,1.0,11.0,2.939276297,101.6442602,3.0,Sepang,Selangor,63200,28.5,33.2,24.5,78.79,0.0,0,,0.0,0.0,,6.6,125.0,,100.0,1.0,594.8,2.1,6,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 10:05:17
20/10/2015,10:41:35,,male,thin,33.0,no,no_kids,big,brown,formal,,long sleeve,brown,long,,5,9,,39.0,0.0,9.0,2.957245277,101.6766783,1.0,Putrajaya,Putrajaya,61250,28.5,33.2,24.5,78.95,0.0,0,,0.0,0.0,,6.5,125.0,,100.0,1.0,594.8,2.1,6,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 10:41:35
20/10/2015,10:49:31,malay,female,thin,55.0,yes,toddler ,big,blue,casual,brown,long sleeve,grey,long,clothes,4,7,no,46.0,,11.0,2.970509739,101.6621115,1.0,Sepang,Selangor,47110,28.4,33.1,24.6,79.73,0.0,0,,0.0,0.0,,6.0,124.0,,100.0,1.0,594.8,2.1,6,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 10:49:31
20/10/2015,10:57:47,malay,male,fat,,yes,toddler,big,,,grey,,grey,long,clothes,5,9,no,53.0,3.0,,2.921546642,101.6680438,,Sepang,Selangor,62100,28.6,33.3,24.4,77.7,0.0,0,,0.0,0.0,,7.3,126.0,,100.0,1.0,594.8,2.1,6,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 10:57:47
20/10/2015,11:13:26,malay,female,fat,55.0,yes,,big,blue,traditional,,long sleeve,orange,long,clothes,6,7,,48.0,2.0,16.0,2.943176549,101.7346564,1.0,Sepang,Selangor,62050,29.8,35.8,24.9,75.03,0.0,0,,0.0,0.0,,9.9,142.0,1012.2,100.0,1.0,723.3,2.6,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 11:13:26
20/10/2015,11:19:20,malay,female,moderate,50.0,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no,35.0,,8.0,2.915475549,101.6616564,2.0,Sepang,Selangor,63000,29.8,35.8,24.9,75.04,0.0,0,,0.0,0.0,,9.9,143.0,1012.2,100.0,1.0,723.3,2.6,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 11:19:20
20/10/2015,11:27:26,indian,male,fat,34.0,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no,,5.0,17.0,2.943831439,101.6823814,1.0,Putrajaya,Putrajaya,62250,29.8,35.8,24.9,75.04,0.0,0,,0.0,0.0,,9.6,138.0,1012.2,100.0,1.0,723.3,2.6,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 11:27:26
20/10/2015,11:27:57,,male,moderate,53.0,yes,baby,big,pink,formal,red,long sleeve,black,long,clothes,5,9,no,15.0,,19.0,2.934433738,101.7258593,1.0,Putrajaya,Putrajaya,62050,29.8,35.8,24.9,75.03,0.0,0,,0.0,0.0,,10.0,143.0,1012.2,100.0,1.0,723.3,2.6,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 11:27:57
20/10/2015,11:28:43,malay,female,fat,38.0,yes,young,big,white,casual,red,,blue  ,long,blankets,3,7,,16.0,2.0,,2.967766774,101.6855821,1.0,Putrajaya,Putrajaya,62300,29.8,35.8,24.9,75.04,0.0,0,,0.0,0.0,,9.3,134.0,1012.3,100.0,1.0,723.3,2.6,7,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 11:28:43
20/10/2015,13:36:46,chinese,female,thin,29.0,no,,small,white,casual,brown,short_sleeve,black ,long,,3,7,yes,54.0,3.0,10.0,2.951222745,101.7235245,3.0,Putrajaya,Putrajaya,62050,30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,8.3,164.0,,100.0,1.0,794.3,2.9,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 13:36:46
20/10/2015,12:10:46,chinese,female,moderate,44.0,no,no_kids,big,white,casual,,short_sleeve,,long,clothes,5,7,no,30.0,,20.0,2.939402932,101.6633933,1.0,Sepang,Selangor,61250,30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,10.2,157.0,,100.0,1.0,798.0,2.9,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 12:10:46
20/10/2015,13:44:03,chinese,female,moderate,42.0,,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,22.0,2.0,13.0,2.947776713,101.6978995,3.0,Putrajaya,Putrajaya,62514,30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,8.3,163.0,,100.0,1.0,794.3,2.9,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 13:44:03
20/10/2015,13:47:46,chinese,male,thin,41.0,no,no_kids,big,white,,black,,brown,long,clothes,6,9,no,50.0,3.0,18.0,2.9662059,101.6346878,1.0,Sepang,Selangor,47120,30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,8.7,155.0,,100.0,1.0,794.3,2.9,8,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 13:47:46
20/10/2015,14:39:57,,male,thin,36.0,yes,young,,red,,grey,,white,short,blankets,5,9,yes,20.0,0.0,13.0,2.966805235,101.691886,3.0,Putrajaya,Putrajaya,62502,30.0,36.3,25.1,75.02,0.0,0,,0.0,0.0,,8.3,170.0,1009.2,100.0,0.5,702.8,2.5,7,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 14:39:57
20/10/2015,14:54:19,indian,male,fat,,no,no_kids,big,,,black,,blue_jeans,long,,4,10,no,60.0,3.0,19.0,2.904241872,101.6693722,2.0,Putrajaya,Putrajaya,62200,29.6,35.6,25.0,76.45,0.0,0,,0.0,0.0,,7.1,174.0,1009.1,100.0,0.7,702.8,2.5,7,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 14:54:19
20/10/2015,14:54:19,indian,male,thin,42.0,,no_kids,big,blue,,black,short_sleeve,blue_jeans,long,clothes,6,9,no,34.0,3.0,12.0,2.953809463,101.6864277,,Putrajaya,Putrajaya,61250,29.9,36.1,25.1,75.3,0.0,0,,0.0,0.0,,8.1,171.0,1009.2,100.0,0.5,702.8,2.5,7,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 14:54:19
20/10/2015,15:26:05,malay,female,fat,32.0,no,no_kids,big,purple,,,,black,long,clothes,3,7,no,58.0,0.0,10.0,2.971703373,101.6786169,2.0,Putrajaya,Putrajaya,62300,30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,7.6,163.0,,100.0,0.4,563.0,2.0,6,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 15:26:05
20/10/2015,15:45:51,chinese,male,thin,40.0,yes,toddler,big,red,casual,,short_sleeve,white,short,clothes,5,9,yes,54.0,2.0,18.0,2.925992147,101.7259705,2.0,Sepang,Selangor,63450,30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,7.6,171.0,,100.0,0.7,563.0,2.0,6,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 15:45:51
20/10/2015,15:52:41,foreigner ,male,moderate,39.0,no,no_kids,big,blue,casual,black,short_sleeve,,long,,3,8,no,43.0,5.0,17.0,2.94146915,101.7094355,,Putrajaya,Putrajaya,62000,30.0,36.2,25.0,74.63,0.0,0,,0.0,0.0,,7.6,169.0,,100.0,0.6,563.0,2.0,6,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 15:52:41
20/10/2015,16:01:30,,female,fat,55.0,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,58.0,2.0,11.0,2.959500865,101.7081422,2.0,Putrajaya,Putrajaya,62502,30.0,36.7,25.5,76.67,0.0,0,,0.0,0.0,,6.4,165.0,,100.0,0.5,380.4,1.4,4,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 16:01:30
20/10/2015,16:34:06,chinese,male,thin,46.0,no,no_kids,big,red,,purple,short_sleeve,black,,clothes,4,7,no,56.0,1.0,15.0,2.932691012,101.6432777,2.0,Sepang,Selangor,63000,30.0,36.7,25.5,76.66,0.0,0,,0.0,0.0,,6.4,165.0,,100.0,0.5,380.4,1.4,4,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 16:34:06
20/10/2015,18:14:37,malay,female,thin,46.0,no,no_kids,small,white,casual,white,,grey,,,6,10,no,16.0,1.0,20.0,2.943731299,101.7349606,1.0,Sepang,Selangor,62050,29.4,36.3,26.0,82.17,0.0,0,,0.0,0.0,,4.2,193.0,,100.0,0.6,51.8,0.2,1,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 18:14:37
20/10/2015,18:34:26,malay,male,fat,35.0,no,no_kids,big,blue,formal,white,short_sleeve,brown,,clothes,4,7,yes,41.0,1.0,17.0,2.932445148,101.7365378,2.0,Sepang,Selangor,63450,29.3,36.2,26.0,82.37,0.0,0,,0.0,0.0,,4.2,194.0,,100.0,0.7,51.8,0.2,1,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 18:34:26
20/10/2015,18:37:46,chinese,female,thin,35.0,,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,31.0,3.0,9.0,2.938365035,101.7021395,2.0,Putrajaya,Putrajaya,62519,29.4,36.3,26.0,82.08,0.0,0,,0.0,0.0,,4.3,192.0,,100.0,0.6,51.8,0.2,1,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 18:37:46
20/10/2015,18:48:34,malay,female,,41.0,no,,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,38.0,5.0,9.0,2.961409415,101.6954655,3.0,Putrajaya,Putrajaya,62502,29.5,36.5,26.0,81.6,0.0,0,,0.0,0.0,,4.5,190.0,,100.0,0.5,51.8,0.2,1,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 18:48:34
20/10/2015,18:57:46,malay,female,fat,31.0,,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,51.0,4.0,18.0,2.909508314,101.7448743,2.0,Sepang,Selangor,63450,29.2,36.1,26.0,82.75,0.0,0,,0.0,0.0,,4.0,195.0,,100.0,0.8,51.8,0.2,1,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 18:57:46
20/10/2015,18:57:46,malay,female,fat,34.0,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,,23.0,1.0,18.0,2.920341513,101.7127793,3.0,Sepang,Selangor,62000,29.3,36.2,26.0,82.47,0.0,0,,0.0,0.0,,4.1,194.0,,100.0,0.7,51.8,0.2,1,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 18:57:46
20/10/2015,20:09:18,malay,female,fat,36.0,no,no_kids,big,blue,casual,grey,long sleeve,black,long,,4,8,no,37.0,5.0,12.0,2.938475943,101.6852813,1.0,Putrajaya,Putrajaya,62250,28.2,33.5,25.4,84.65,0.0,0,,0.0,0.0,,2.1,119.0,1009.2,100.0,0.6,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 20:09:18
20/10/2015,20:21:03,malay,,,33.0,no,,big,,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,yes,15.0,0.0,14.0,2.920208022,101.7141611,1.0,Sepang,Selangor,62000,28.2,33.3,25.3,84.74,0.0,0,,0.0,0.0,,2.5,132.0,1009.1,100.0,0.7,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 20:21:03
20/10/2015,20:21:03,malay,,fat,51.0,no,no_kids,big,blue,casual,blue,short_sleeve,red,long,clothes,6,9,no,60.0,2.0,18.0,2.911034456,101.7459985,2.0,Sepang,Selangor,63450,28.1,33.2,25.3,84.78,0.0,0,,0.0,0.0,,2.7,138.0,1009.1,100.0,0.8,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 20:21:03
20/10/2015,20:21:03,foreigner ,female,moderate,46.0,no,no_kids,,,formal,grey,long sleeve,black,long,blankets,3,7,no,53.0,2.0,11.0,2.962275698,101.6918951,1.0,Putrajaya,Putrajaya,61250,28.3,33.7,25.5,84.57,0.0,0,,0.0,0.0,,1.8,108.0,1009.2,100.0,0.5,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 20:21:03
20/10/2015,20:32:37,,female,moderate,51.0,no,no_kids,big,,casual,red,long sleeve,red,long,clothes,6,8,no,35.0,5.0,21.0,2.932841078,101.6624616,2.0,Sepang,Selangor,61250,28.3,33.6,25.4,84.64,0.0,0,,0.0,0.0,,2.1,118.0,1009.2,100.0,0.6,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 20:32:37
20/10/2015,20:44:46,indian,male,fat,,no,no_kids,big,,casual,red,short_sleeve,black,short,clothes,5,7,no,50.0,5.0,14.0,2.938229596,101.7328228,1.0,Putrajaya,Putrajaya,62050,28.2,33.4,25.4,84.7,0.0,0,,0.0,0.0,,2.4,127.0,1009.2,100.0,0.7,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 20:44:46
20/10/2015,20:48:32,malay,,fat,28.0,no,no_kids,big,blue,casual,blue,long sleeve,brown,long,clothes,3,9,yes,39.0,2.0,11.0,2.922380929,101.687864,1.0,Putrajaya,Putrajaya,62100,28.2,33.4,25.4,84.71,0.0,0,,0.0,0.0,,2.4,128.0,1009.2,100.0,0.7,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 20:48:32
20/10/2015,21:39:30,indian,male,moderate,49.0,no,no_kids,big,red,casual,,short_sleeve,,short,clothes,4,8,no,31.0,3.0,14.0,2.919551168,101.668476,3.0,Sepang,Selangor,62100,28.0,33.0,25.4,85.56,0.0,0,,0.0,0.0,,3.5,71.0,,91.3,1.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 21:39:30
20/10/2015,21:44:10,indian,male,fat,48.0,no,no_kids,big,red,,black,short_sleeve,blue,short,clothes,5,10,,32.0,5.0,11.0,2.916453312,101.7460087,2.0,Sepang,Selangor,63450,28.0,32.9,25.3,85.09,0.0,0,,0.0,0.0,,4.0,77.0,,90.6,1.5,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 21:44:10
20/10/2015,21:05:59,,female,fat,,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no,24.0,1.0,16.0,2.943119223,101.7154266,2.0,Putrajaya,Putrajaya,62050,28.0,33.0,25.4,85.7,0.0,0,,0.0,0.0,,3.4,69.0,,91.6,1.2,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 21:05:59
20/10/2015,22:04:52,indian,female,fat,42.0,no,no_kids,,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,55.0,4.0,15.0,2.91001756,101.6719134,3.0,Sepang,Selangor,62100,28.0,33.0,25.3,85.34,0.0,0,,0.0,0.0,,4.3,53.0,,91.0,1.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 22:04:52
20/10/2015,22:04:52,foreigner ,male,moderate,54.0,no,no_kids,big,white,casual,white,,black,long,clothes,3,9,no,20.0,4.0,16.0,2.965581773,101.6384887,3.0,Sepang,Selangor,47120,28.0,33.2,25.6,86.85,0.0,0,,0.0,0.0,,3.2,18.0,,93.8,0.8,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 22:04:52
20/10/2015,22:10:28,foreigner ,male,,38.0,no,,big,,casual,,short_sleeve,black,long,clothes,3,8,no,40.0,5.0,14.0,2.914720246,101.7026826,1.0,Sepang,Selangor,62150,28.0,32.9,25.3,85.23,0.0,0,,0.0,0.0,,4.4,56.0,,90.8,1.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 22:10:28
20/10/2015,22:12:39,chinese,female,thin,39.0,,no_kids,big,blue,casual,blue,long sleeve,yellow,short,clothes,6,7,no,15.0,2.0,13.0,2.94670685,101.727935,3.0,Putrajaya,Putrajaya,62050,28.0,33.0,25.4,85.69,0.0,0,,0.0,0.0,,4.0,45.0,,91.6,1.2,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 22:12:39
20/10/2015,22:18:01,malay,,thin,53.0,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no,43.0,4.0,16.0,2.968579156,101.6453175,3.0,Sepang,Selangor,47110,28.0,33.2,25.6,86.85,0.0,0,,0.0,0.0,,3.2,18.0,,93.8,0.8,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 22:18:01
20/10/2015,22:20:42,malay,male,thin,29.0,yes,toddler,big,black,,white,short_sleeve,blue_jeans,long,clothes,3,10,,31.0,0.0,18.0,2.921287496,101.6791926,1.0,Putrajaya,Putrajaya,62100,28.0,33.0,25.3,85.51,0.0,0,,0.0,0.0,,4.2,49.0,,91.3,1.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 22:20:42
20/10/2015,22:24:54,indian,male,fat,43.0,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,36.0,0.0,11.0,2.903208575,101.6367534,3.0,Sepang,Selangor,63000,28.0,33.0,25.3,85.49,0.0,0,,0.0,0.0,,4.2,49.0,,91.3,1.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 22:24:54
20/10/2015,22:24:54,indian,female,fat,29.0,yes,young,small,white,,brown,short_sleeve,blue,long,clothes,5,8,no,56.0,4.0,21.0,2.918987501,101.6855577,1.0,Putrajaya,Putrajaya,62100,28.0,33.0,25.3,85.42,0.0,0,,0.0,0.0,,4.2,51.0,,91.1,1.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 22:24:54
20/10/2015,22:37:12,malay,female,thin,50.0,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,44.0,0.0,14.0,2.920738346,101.7324981,1.0,Sepang,Selangor,63450,28.0,32.9,25.3,85.2,0.0,0,,0.0,0.0,,4.4,56.0,,90.8,1.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 22:37:12
20/10/2015,22:52:52,malay,,thin,51.0,no,no_kids,small,black,casual,black,short_sleeve,grey,long,,3,9,no,33.0,5.0,15.0,2.92582691,101.7381869,2.0,Sepang,Selangor,63450,28.0,32.9,25.3,85.27,0.0,0,,0.0,0.0,,4.3,55.0,,90.9,1.4,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 22:52:52
20/10/2015,22:54:56,malay,male,thin,28.0,yes,toddler,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,4,10,no,60.0,3.0,16.0,2.97132764,101.6818507,,Putrajaya,Putrajaya,62300,28.0,33.2,25.5,86.55,0.0,0,,0.0,0.0,,3.4,25.0,,93.1,0.9,0.0,,0,,Overcast,fog,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 22:54:56
20/10/2015,22:59:55,indian,female,moderate,55.0,,baby,,white,,blue,short_sleeve,brown,short,clothes,3,9,no,60.0,5.0,14.0,2.919032094,101.6630788,1.0,Sepang,Selangor,63000,28.0,33.0,25.4,85.59,0.0,0,,0.0,0.0,,4.1,47.0,,91.4,1.3,0.0,,0,,Overcast,cloudy,"48647099999,48650099999,WMSA,WMKK",2015-10-20,2015-10-20 22:59:55
